level,bfs_step,bfs_visited,bfs_time,dfs_step,dfs_visited,dfs_time,astar_step,astar_visited,astar_time,backtracking_step,backtracking_visited,backtracking_time,simulatedannealing_step,simulatedannealing_visited,simulatedannealing_time
1,37,474,0.06,67,264,0.01,43,301,0.02,77,210,0.01,NaN,NaN,NaN
2,60,1392,0.06,138,461,0.02,76,455,0.03,98,850,0.05,NaN,NaN,NaN
3,69,2138,0.11,81,548,0.03,113,1793,0.11,95,960,0.05,NaN,NaN,NaN
4,71,1029,0.08,85,817,0.04,71,983,0.06,77,732,0.05,NaN,NaN,NaN
5,61,4123,0.2,211,2124,0.1,77,1428,0.09,291,1234,0.07,NaN,NaN,NaN
6,93,10822,0.55,141,5814,0.33,101,5666,0.38,281,6817,0.39,NaN,NaN,NaN
7,85,2028,0.09,207,854,0.04,107,856,0.05,207,1380,0.07,NaN,NaN,NaN
8,102,4487,0.22,240,3388,0.17,128,5048,0.32,218,3140,0.17,NaN,NaN,NaN
9,80,12316,0.63,498,9650,0.44,116,2752,0.18,856,5783,0.36,NaN,NaN,NaN
10,121,67380,3.83,1779,37625,2.04,219,86113,6.15,NaN,NaN,NaN,NaN,NaN,NaN